sensorID,x,y,z,box
0,-10.5,10.5,-150.775,1
1,-7.5,10.5,-150.775,1
2,-4.5,10.5,-150.775,1
3,-1.5,10.5,-150.775,1
4,1.5,10.5,-150.775,1
5,4.5,10.5,-150.775,1
6,7.5,10.5,-150.775,1
7,10.5,10.5,-150.775,1
8,-10.5,7.5,-150.775,1
9,-7.5,7.5,-150.775,1
10,-4.5,7.5,-150.775,1
11,-1.5,7.5,-150.775,1
12,1.5,7.5,-150.775,1
13,4.5,7.5,-150.775,1
14,7.5,7.5,-150.775,1
15,10.5,7.5,-150.775,1
16,-10.5,4.5,-150.775,1
17,-7.5,4.5,-150.775,1
18,-4.5,4.5,-150.775,1
19,-1.5,4.5,-150.775,1
20,1.5,4.5,-150.775,1
21,4.5,4.5,-150.775,1
22,7.5,4.5,-150.775,1
23,10.5,4.5,-150.775,1
24,-10.5,1.5,-150.775,1
25,-7.5,1.5,-150.775,1
26,-4.5,1.5,-150.775,1
27,-1.5,1.5,-150.775,1
28,1.5,1.5,-150.775,1
29,4.5,1.5,-150.775,1
30,7.5,1.5,-150.775,1
31,10.5,1.5,-150.775,1
32,-10.5,-1.5,-150.775,1
33,-7.5,-1.5,-150.775,1
34,-4.5,-1.5,-150.775,1
35,-1.5,-1.5,-150.775,1
36,1.5,-1.5,-150.775,1
37,4.5,-1.5,-150.775,1
38,7.5,-1.5,-150.775,1
39,10.5,-1.5,-150.775,1
40,-10.5,-4.5,-150.775,1
41,-7.5,-4.5,-150.775,1
42,-4.5,-4.5,-150.775,1
43,-1.5,-4.5,-150.775,1
44,1.5,-4.5,-150.775,1
45,4.5,-4.5,-150.775,1
46,7.5,-4.5,-150.775,1
47,10.5,-4.5,-150.775,1
48,-10.5,-7.5,-150.775,1
49,-7.5,-7.5,-150.775,1
50,-4.5,-7.5,-150.775,1
51,-1.5,-7.5,-150.775,1
52,1.5,-7.5,-150.775,1
53,4.5,-7.5,-150.775,1
54,7.5,-7.5,-150.775,1
55,10.5,-7.5,-150.775,1
56,-10.5,-10.5,-150.775,1
57,-7.5,-10.5,-150.775,1
58,-4.5,-10.5,-150.775,1
59,-1.5,-10.5,-150.775,1
60,1.5,-10.5,-150.775,1
61,4.5,-10.5,-150.775,1
62,7.5,-10.5,-150.775,1
63,10.5,-10.5,-150.775,1
2000,10.5,10.5,-99.225,1
2001,7.5,10.5,-99.225,1
2002,4.5,10.5,-99.225,1
2003,1.5,10.5,-99.225,1
2004,-1.5,10.5,-99.225,1
2005,-4.5,10.5,-99.225,1
2006,-7.5,10.5,-99.225,1
2007,-10.5,10.5,-99.225,1
2008,10.5,7.5,-99.225,1
2009,7.5,7.5,-99.225,1
2010,4.5,7.5,-99.225,1
2011,1.5,7.5,-99.225,1
2012,-1.5,7.5,-99.225,1
2013,-4.5,7.5,-99.225,1
2014,-7.5,7.5,-99.225,1
2015,-10.5,7.5,-99.225,1
2016,10.5,4.5,-99.225,1
2017,7.5,4.5,-99.225,1
2018,4.5,4.5,-99.225,1
2019,1.5,4.5,-99.225,1
2020,-1.5,4.5,-99.225,1
2021,-4.5,4.5,-99.225,1
2022,-7.5,4.5,-99.225,1
2023,-10.5,4.5,-99.225,1
2024,10.5,1.5,-99.225,1
2025,7.5,1.5,-99.225,1
2026,4.5,1.5,-99.225,1
2027,1.5,1.5,-99.225,1
2028,-1.5,1.5,-99.225,1
2029,-4.5,1.5,-99.225,1
2030,-7.5,1.5,-99.225,1
2031,-10.5,1.5,-99.225,1
2032,10.5,-1.5,-99.225,1
2033,7.5,-1.5,-99.225,1
2034,4.5,-1.5,-99.225,1
2035,1.5,-1.5,-99.225,1
2036,-1.5,-1.5,-99.225,1
2037,-4.5,-1.5,-99.225,1
2038,-7.5,-1.5,-99.225,1
2039,-10.5,-1.5,-99.225,1
2040,10.5,-4.5,-99.225,1
2041,7.5,-4.5,-99.225,1
2042,4.5,-4.5,-99.225,1
2043,1.5,-4.5,-99.225,1
2044,-1.5,-4.5,-99.225,1
2045,-4.5,-4.5,-99.225,1
2046,-7.5,-4.5,-99.225,1
2047,-10.5,-4.5,-99.225,1
2048,10.5,-7.5,-99.225,1
2049,7.5,-7.5,-99.225,1
2050,4.5,-7.5,-99.225,1
2051,1.5,-7.5,-99.225,1
2052,-1.5,-7.5,-99.225,1
2053,-4.5,-7.5,-99.225,1
2054,-7.5,-7.5,-99.225,1
2055,-10.5,-7.5,-99.225,1
2056,10.5,-10.5,-99.225,1
2057,7.5,-10.5,-99.225,1
2058,4.5,-10.5,-99.225,1
2059,1.5,-10.5,-99.225,1
2060,-1.5,-10.5,-99.225,1
2061,-4.5,-10.5,-99.225,1
2062,-7.5,-10.5,-99.225,1
2063,-10.5,-10.5,-99.225,1
10000,10.5,10.5,150.775,2
10001,7.5,10.5,150.775,2
10002,4.5,10.5,150.775,2
10003,1.5,10.5,150.775,2
10004,-1.5,10.5,150.775,2
10005,-4.5,10.5,150.775,2
10006,-7.5,10.5,150.775,2
10007,-10.5,10.5,150.775,2
10008,10.5,7.5,150.775,2
10009,7.5,7.5,150.775,2
10010,4.5,7.5,150.775,2
10011,1.5,7.5,150.775,2
10012,-1.5,7.5,150.775,2
10013,-4.5,7.5,150.775,2
10014,-7.5,7.5,150.775,2
10015,-10.5,7.5,150.775,2
10016,10.5,4.5,150.775,2
10017,7.5,4.5,150.775,2
10018,4.5,4.5,150.775,2
10019,1.5,4.5,150.775,2
10020,-1.5,4.5,150.775,2
10021,-4.5,4.5,150.775,2
10022,-7.5,4.5,150.775,2
10023,-10.5,4.5,150.775,2
10024,10.5,1.5,150.775,2
10025,7.5,1.5,150.775,2
10026,4.5,1.5,150.775,2
10027,1.5,1.5,150.775,2
10028,-1.5,1.5,150.775,2
10029,-4.5,1.5,150.775,2
10030,-7.5,1.5,150.775,2
10031,-10.5,1.5,150.775,2
10032,10.5,-1.5,150.775,2
10033,7.5,-1.5,150.775,2
10034,4.5,-1.5,150.775,2
10035,1.5,-1.5,150.775,2
10036,-1.5,-1.5,150.775,2
10037,-4.5,-1.5,150.775,2
10038,-7.5,-1.5,150.775,2
10039,-10.5,-1.5,150.775,2
10040,10.5,-4.5,150.775,2
10041,7.5,-4.5,150.775,2
10042,4.5,-4.5,150.775,2
10043,1.5,-4.5,150.775,2
10044,-1.5,-4.5,150.775,2
10045,-4.5,-4.5,150.775,2
10046,-7.5,-4.5,150.775,2
10047,-10.5,-4.5,150.775,2
10048,10.5,-7.5,150.775,2
10049,7.5,-7.5,150.775,2
10050,4.5,-7.5,150.775,2
10051,1.5,-7.5,150.775,2
10052,-1.5,-7.5,150.775,2
10053,-4.5,-7.5,150.775,2
10054,-7.5,-7.5,150.775,2
10055,-10.5,-7.5,150.775,2
10056,10.5,-10.5,150.775,2
10057,7.5,-10.5,150.775,2
10058,4.5,-10.5,150.775,2
10059,1.5,-10.5,150.775,2
10060,-1.5,-10.5,150.775,2
10061,-4.5,-10.5,150.775,2
10062,-7.5,-10.5,150.775,2
10063,-10.5,-10.5,150.775,2
12000,-10.5,10.5,99.225,2
12001,-7.5,10.5,99.225,2
12002,-4.5,10.5,99.225,2
12003,-1.5,10.5,99.225,2
12004,1.5,10.5,99.225,2
12005,4.5,10.5,99.225,2
12006,7.5,10.5,99.225,2
12007,10.5,10.5,99.225,2
12008,-10.5,7.5,99.225,2
12009,-7.5,7.5,99.225,2
12010,-4.5,7.5,99.225,2
12011,-1.5,7.5,99.225,2
12012,1.5,7.5,99.225,2
12013,4.5,7.5,99.225,2
12014,7.5,7.5,99.225,2
12015,10.5,7.5,99.225,2
12016,-10.5,4.5,99.225,2
12017,-7.5,4.5,99.225,2
12018,-4.5,4.5,99.225,2
12019,-1.5,4.5,99.225,2
12020,1.5,4.5,99.225,2
12021,4.5,4.5,99.225,2
12022,7.5,4.5,99.225,2
12023,10.5,4.5,99.225,2
12024,-10.5,1.5,99.225,2
12025,-7.5,1.5,99.225,2
12026,-4.5,1.5,99.225,2
12027,-1.5,1.5,99.225,2
12028,1.5,1.5,99.225,2
12029,4.5,1.5,99.225,2
12030,7.5,1.5,99.225,2
12031,10.5,1.5,99.225,2
12032,-10.5,-1.5,99.225,2
12033,-7.5,-1.5,99.225,2
12034,-4.5,-1.5,99.225,2
12035,-1.5,-1.5,99.225,2
12036,1.5,-1.5,99.225,2
12037,4.5,-1.5,99.225,2
12038,7.5,-1.5,99.225,2
12039,10.5,-1.5,99.225,2
12040,-10.5,-4.5,99.225,2
12041,-7.5,-4.5,99.225,2
12042,-4.5,-4.5,99.225,2
12043,-1.5,-4.5,99.225,2
12044,1.5,-4.5,99.225,2
12045,4.5,-4.5,99.225,2
12046,7.5,-4.5,99.225,2
12047,10.5,-4.5,99.225,2
12048,-10.5,-7.5,99.225,2
12049,-7.5,-7.5,99.225,2
12050,-4.5,-7.5,99.225,2
12051,-1.5,-7.5,99.225,2
12052,1.5,-7.5,99.225,2
12053,4.5,-7.5,99.225,2
12054,7.5,-7.5,99.225,2
12055,10.5,-7.5,99.225,2
12056,-10.5,-10.5,99.225,2
12057,-7.5,-10.5,99.225,2
12058,-4.5,-10.5,99.225,2
12059,-1.5,-10.5,99.225,2
12060,1.5,-10.5,99.225,2
12061,4.5,-10.5,99.225,2
12062,7.5,-10.5,99.225,2
12063,10.5,-10.5,99.225,2
